Day,Date,Susceptible,Exposed,Infected,Recovered,Deaths,Daily_New,Region,Population
60,2024-03-01,0,8839,14733,100000,6280,14733,Sample Region,100000
61,2024-03-02,0,8943,14906,100000,6549,14906,Sample Region,100000
62,2024-03-03,0,8734,14557,100000,6811,14557,Sample Region,100000
63,2024-03-04,0,8701,14502,100000,7072,14502,Sample Region,100000
64,2024-03-05,0,9150,15250,100000,7346,15250,Sample Region,100000
65,2024-03-06,0,9224,15374,100000,7623,15374,Sample Region,100000
66,2024-03-07,0,8804,14674,100000,7887,14674,Sample Region,100000
67,2024-03-08,0,8963,14939,100000,8156,14939,Sample Region,100000
68,2024-03-09,0,8690,14484,100000,8417,14484,Sample Region,100000
69,2024-03-10,0,8310,13850,100000,8666,13850,Sample Region,100000
70,2024-03-11,0,8394,13991,100000,8918,13991,Sample Region,100000
71,2024-03-12,0,8502,14170,100000,9173,14170,Sample Region,100000
72,2024-03-13,0,7933,13223,100000,9411,13223,Sample Region,100000
73,2024-03-14,0,8112,13520,100000,9654,13520,Sample Region,100000
74,2024-03-15,0,6888,11481,100000,9861,11481,Sample Region,100000
75,2024-03-16,0,7483,12472,100000,10085,12472,Sample Region,100000
76,2024-03-17,0,7065,11775,100000,10297,11775,Sample Region,100000
77,2024-03-18,0,6721,11202,100000,10499,11202,Sample Region,100000
78,2024-03-19,0,6556,10928,100000,10696,10928,Sample Region,100000
79,2024-03-20,0,5794,9657,100000,10869,9657,Sample Region,100000
80,2024-03-21,0,5949,9916,100000,11048,9916,Sample Region,100000
81,2024-03-22,0,5817,9695,100000,11222,9695,Sample Region,100000
82,2024-03-23,0,5813,9689,100000,11397,9689,Sample Region,100000
83,2024-03-24,0,5061,8436,100000,11549,8436,Sample Region,100000
84,2024-03-25,0,4720,7867,100000,11690,7867,Sample Region,100000
85,2024-03-26,0,4525,7542,100000,11826,7542,Sample Region,100000
86,2024-03-27,0,4600,7667,100000,11964,7667,Sample Region,100000
87,2024-03-28,0,4199,6999,100000,12090,6999,Sample Region,100000
88,2024-03-29,0,3738,6231,100000,12202,6231,Sample Region,100000
89,2024-03-30,0,3741,6235,100000,12314,6235,Sample Region,100000
90,2024-03-31,0,3400,5668,100000,12416,5668,Sample Region,100000
91,2024-04-01,0,3377,5629,100000,12518,5629,Sample Region,100000
92,2024-04-02,0,2752,4588,100000,12600,4588,Sample Region,100000
93,2024-04-03,0,2628,4381,100000,12679,4381,Sample Region,100000
94,2024-04-04,0,2407,4013,100000,12751,4013,Sample Region,100000
95,2024-04-05,0,1955,3259,100000,12810,3259,Sample Region,100000
96,2024-04-06,0,2192,3654,100000,12876,3654,Sample Region,100000
97,2024-04-07,0,2008,3348,100000,12936,3348,Sample Region,100000
98,2024-04-08,0,1782,2970,100000,12990,2970,Sample Region,100000
99,2024-04-09,0,1569,2615,100000,13037,2615,Sample Region,100000
100,2024-04-10,0,1140,1900,100000,13071,1900,Sample Region,100000
101,2024-04-11,0,1243,2072,100000,13108,2072,Sample Region,100000
102,2024-04-12,0,1135,1892,100000,13142,1892,Sample Region,100000
103,2024-04-13,0,907,1513,100000,13169,1513,Sample Region,100000
104,2024-04-14,0,953,1589,100000,13198,1589,Sample Region,100000
105,2024-04-15,0,988,1648,100000,13228,1648,Sample Region,100000
106,2024-04-16,0,1252,2088,100000,13265,2088,Sample Region,100000
107,2024-04-17,0,757,1263,100000,13288,1263,Sample Region,100000
108,2024-04-18,0,700,1168,100000,13309,1168,Sample Region,100000
109,2024-04-19,0,550,918,100000,13326,918,Sample Region,100000
110,2024-04-20,0,44,74,100000,13327,74,Sample Region,100000
111,2024-04-21,0,441,735,100000,13340,735,Sample Region,100000
112,2024-04-22,0,409,683,100000,13352,683,Sample Region,100000
113,2024-04-23,0,939,1566,100000,13381,1566,Sample Region,100000
114,2024-04-24,0,259,433,100000,13388,433,Sample Region,100000
115,2024-04-25,0,340,568,100000,13399,568,Sample Region,100000
116,2024-04-26,0,226,377,100000,13405,377,Sample Region,100000
117,2024-04-27,0,0,0,100000,13405,0,Sample Region,100000
118,2024-04-28,0,452,754,100000,13419,754,Sample Region,100000
119,2024-04-29,0,335,559,100000,13429,559,Sample Region,100000
120,2024-04-30,0,324,540,100000,13439,540,Sample Region,100000
121,2024-05-01,0,0,0,100000,13439,0,Sample Region,100000
122,2024-05-02,0,436,727,100000,13452,727,Sample Region,100000
123,2024-05-03,0,0,0,100000,13452,0,Sample Region,100000
124,2024-05-04,0,214,357,100000,13458,357,Sample Region,100000
125,2024-05-05,0,588,981,100000,13476,981,Sample Region,100000
126,2024-05-06,0,0,0,100000,13476,0,Sample Region,100000
127,2024-05-07,0,0,0,100000,13476,0,Sample Region,100000
128,2024-05-08,0,62,104,100000,13478,104,Sample Region,100000
129,2024-05-09,0,0,0,100000,13478,0,Sample Region,100000
130,2024-05-10,0,0,0,100000,13478,0,Sample Region,100000
131,2024-05-11,0,39,66,100000,13479,66,Sample Region,100000
132,2024-05-12,0,0,0,100000,13479,0,Sample Region,100000
133,2024-05-13,0,129,216,100000,13483,216,Sample Region,100000
134,2024-05-14,0,0,0,100000,13483,0,Sample Region,100000
135,2024-05-15,0,383,639,100000,13494,639,Sample Region,100000
136,2024-05-16,0,0,0,100000,13494,0,Sample Region,100000
137,2024-05-17,0,0,0,100000,13494,0,Sample Region,100000
138,2024-05-18,0,201,336,100000,13500,336,Sample Region,100000
139,2024-05-19,0,0,0,100000,13500,0,Sample Region,100000
140,2024-05-20,0,58,98,100000,13502,98,Sample Region,100000
141,2024-05-21,0,316,528,100000,13512,528,Sample Region,100000
142,2024-05-22,0,0,0,100000,13512,0,Sample Region,100000
143,2024-05-23,0,46,77,100000,13513,77,Sample Region,100000
144,2024-05-24,0,64,107,100000,13515,107,Sample Region,100000
145,2024-05-25,0,189,315,100000,13521,315,Sample Region,100000
146,2024-05-26,0,0,0,100000,13521,0,Sample Region,100000
147,2024-05-27,0,0,0,100000,13521,0,Sample Region,100000
148,2024-05-28,0,126,210,100000,13525,210,Sample Region,100000
149,2024-05-29,0,71,119,100000,13527,119,Sample Region,100000
150,2024-05-30,0,60,101,100000,13528,101,Sample Region,100000
151,2024-05-31,0,83,139,100000,13531,139,Sample Region,100000
152,2024-06-01,0,0,0,100000,13531,0,Sample Region,100000
153,2024-06-02,0,55,93,100000,13533,93,Sample Region,100000
154,2024-06-03,0,70,117,100000,13535,117,Sample Region,100000
155,2024-06-04,0,0,0,100000,13535,0,Sample Region,100000
156,2024-06-05,0,447,746,100000,13548,746,Sample Region,100000
157,2024-06-06,0,113,189,100000,13552,189,Sample Region,100000
158,2024-06-07,0,0,0,100000,13552,0,Sample Region,100000
159,2024-06-08,0,157,262,100000,13556,262,Sample Region,100000
160,2024-06-09,0,0,0,100000,13556,0,Sample Region,100000
161,2024-06-10,0,188,314,100000,13562,314,Sample Region,100000
162,2024-06-11,0,277,463,100000,13570,463,Sample Region,100000
163,2024-06-12,0,0,0,100000,13570,0,Sample Region,100000
164,2024-06-13,0,231,385,100000,13577,385,Sample Region,100000
165,2024-06-14,0,99,165,100000,13580,165,Sample Region,100000
166,2024-06-15,0,196,328,100000,13586,328,Sample Region,100000
167,2024-06-16,0,454,758,100000,13600,758,Sample Region,100000
168,2024-06-17,0,0,0,100000,13600,0,Sample Region,100000
169,2024-06-18,0,0,0,100000,13600,0,Sample Region,100000
170,2024-06-19,0,0,0,100000,13600,0,Sample Region,100000
171,2024-06-20,0,0,0,100000,13600,0,Sample Region,100000
172,2024-06-21,0,0,0,100000,13600,0,Sample Region,100000
173,2024-06-22,0,81,136,100000,13602,136,Sample Region,100000
174,2024-06-23,0,66,110,100000,13604,110,Sample Region,100000
175,2024-06-24,0,198,330,100000,13610,330,Sample Region,100000
176,2024-06-25,0,3,5,100000,13610,5,Sample Region,100000
177,2024-06-26,0,348,581,100000,13621,581,Sample Region,100000
178,2024-06-27,0,0,0,100000,13621,0,Sample Region,100000
179,2024-06-28,0,652,1088,100000,13640,1088,Sample Region,100000
